no,song,song_kana_old,song_kana,author,author_kana
22,吹（ふ）くからに　秋の草木（くさき）の　しを（お）るれば　むべ山風（やまかぜ）を　あらしといふ（う）らむ（ん）,ふくからに　あきのくさきの　しおるれば　むべやまかぜを　あらしというらん,ふくからに　あきのくさきの　しをるれば　むべやまかぜを　あらしといふらむ,文屋康秀,ふんやのやすひで
23,月みれば　ちぢに物こそ　かなしけれ　わが身ひとつの　秋にはあらねど,つきみれば　ちぢにものこそ　かなしけれ　わがみひとつの　あきにはあらねど,つきみれば　ちぢにものこそ　かなしけれ　わがみひとつの　あきにはあらねど,大江千里,おおえのちさと
24,このたびは　ぬさもとりあへ（え）ず　手向山（てむけやま）　もみぢ（じ）のにしき　神のまにまに,このたびは　ぬさもとりあえず　たむけやま　もみじのにしき　かみのまにまに,このたびは　ぬさもとりあへず　たむけやま　もみぢのにしき　かみのまにまに,菅家（かんげ,菅原道真
25,名にしおは（わ）ば　逢坂山（おうさかやま）の　さねかづ（ず）ら　人にしられで　来るよしもがな,なにしおわば　おうさかやまの　さねかずら　ひとにしられで　くるよしもがな,なにしおはば　あふさかやまの　さねかづら　ひとにしられで　くるよしもがな,三条右大臣,さんじょうのうだいじん
26,小倉山（おぐらやま）　峰（みね）のもみぢ（じ）は　心あらば　いまひとたびの　みゆきまたなむ（ん）,おぐらやま　みねのもみじば　こころあらば　いまひとたびの　みゆきまたなん,をぐらやま　みねのもみぢば　こころあらば　いまひとたびの　みゆきまたなむ,貞信公,ていしんこう
27,みかの原　わきて流るる　いづみ川　いつみきとてか　恋（こい）しかるらむ（ん）,みかのはら　わきてながるる　いずみがわ　いつみきとてか　こいしかるらん,みかのはら　わきてながるる　いづみがは　いつみきとてか　こひしかるらむ,中納言兼輔,ちゅうなごんかねすけ
28,山里（やまざと）は　冬ぞさびしさ　まさりける　人めも草も　かれぬと思へ（え）ば,やまざとは　ふゆぞさびしさ　まさりける　ひとめもくさも　かれぬとおもえば,やまざとは　ふゆぞさびしさ　まさりける　ひとめもくさも　かれぬとおもへば,源宗行朝臣,みなもとのむねゆきあそん
29,心あてに　折らばや折らむ（ん）　初霜（はつしも）の　おきまどは（わ）せる　白菊（しらぎく）の花,こころあてに　おらばやおらん　はつしもの　おきまどわせる　しらぎくのはな,こころあてに　をらばやをらむ　はつしもの　おきまどはせる　しらぎくのはな,凡河内躬恒,おおしこうちのみつね
30,有明（ありあけ）の　つれなく見えし　別れより　あかつきばかり　うきものはなし,ありあけの　つれなくみえし　わかれより　あかつきばかり　うきものはなし,ありあけの　つれなくみえし　わかれより　あかつきばかり　うきものはなし,壬生忠岑,みぶのただみね
31,朝ぼらけ　有明（ありあけ）の月と　見るまでに　吉野（よしの）の里に　ふれる白雪（しらゆき）,あさぼらけ　ありあけのつきと　みるまでに　よしののさとに　ふれるしらゆき,あさぼらけ　ありあけのつきと　みるまでに　よしののさとに　ふれるしらゆき,坂上是則,さかのうえのこれのり
32,山川（やまがわ）に　風のかけたる　しがらみは　ながれもあへ（え）ぬ　もみぢ（じ）なりけり,やまがわに　かぜのかけたる　しがらみは　ながれもあえぬ　もみじなりけり,やまがはに　かぜのかけたる　しがらみは　ながれもあへぬ　もみぢなりけり,春道列樹,はるみちのつらき
33,ひさかたの　光のどけき　春の日に　しづ（ず）心なく　花のちるらむ（ん）,ひさかたの　ひかりのどけき　はるのひに　しずこころなく　はなのちるらん,ひさかたの　ひかりのどけき　はるのひに　しづこころなく　はなのちるらむ,紀友則,きのとものり
34,誰（たれ）をかも　しる人にせむ（ん）　高砂（たかさご）の　松（まつ）も昔（むかし）の　友ならなくに,たれをかも　しるひとにせん　たかさごの　まつもむかしの　ともならなくに,たれをかも　しるひとにせむ　たかさごの　まつもむかしの　ともならなくに,藤原興風,ふじわらのおきかぜ
35,人はいさ　心もしらず　ふるさとは　花ぞ昔（むかし）の　香（か）ににほ（お）ひ（い）ける,ひとはいさ　こころもしらず　ふるさとは　はなぞむかしの　かににおいける,ひとはいさ　こころもしらず　ふるさとは　はなぞむかしの　かににほひける,紀貫之,きのつらゆき
36,夏の夜は　まだ宵（よい）ながら　あけぬるを　雲のいづ（ず）こに　月やどるらむ（ん）,なつのよは　まだよいながら　あけぬるを　くものいずこに　つきやどるらん,なつのよは　まだよひながら　あけぬるを　くものいづこに　つきやどるらむ,清原深養父,きよはらのふかやぶ
37,白露（しらつゆ）に　風の吹（ふ）きしく　秋の野は　つらぬきとめぬ　玉ぞ散りける,しらつゆに　かぜのふきしく　あきののは　つらぬきとめぬ　たまぞちりける,しらつゆに　かぜのふきしく　あきののは　つらぬきとめぬ　たまぞちりける,文屋朝康,ふんやのあさやす
38,忘らるる　身をば思は（わ）ず　ちかひ（い）てし　人のいのちの　惜（お）しくもあるかな,わすらるる　みをばおもわず　ちかいてし　ひとのいのちの　おしくもあるかな,わすらるる　みをばおもはず　ちかひてし　ひとのいのちの　をしくもあるかな,右近,うこん
39,浅茅生（あさじう）の　小野（おの）の篠原（しのはら）　しのぶれど　あまりてなどか　人の恋（こい）しき,あさぢうの　おののしのはら　しのぶれど　あまりてなどか　ひとのこいしき,あさぢふの　をののしのはら　しのぶれど　あまりてなどか　ひとのこひしき,参議等,さんぎひとし
40,しのぶれど　色に出（い）でにけり　わが恋（こい）は　物や思ふ（う）と　人のとふ（う）まで,しのぶれど　いろにいでにけり　わがこいは　ものやおもうと　ひとのとうまで,しのぶれど　いろにいでにけり　わがこひは　ものやおもふと　ひとのとふまで,平兼盛,たいらのかねもり
41,恋（こひ）すてふ（ちょう）　わが名はまだき　立ちにけり　人しれずこそ　思ひ（い）そめしか,こいすちょう　わがなはまだき　たちにけり　ひとしれずこそ　おもいそめしか,こひすてふ　わがなはまだき　たちにけり　ひとしれずこそ　おもひそめしか,壬生忠見,みぶのただみ
42,ちぎりきな　かたみに袖（そで）を　しぼりつつ　末（すえ）の松山（まつやま）　波こさじとは,ちぎりきな　かたみにそでを　しぼりつつ　すえのまつやま　なみこさじとは,ちぎりきな　かたみにそでを　しぼりつつ　すゑのまつやま　なみこさじとは,清原元輔,きよはらのもとすけ
43,あひ（い）みての　のちの心に　くらぶれば　昔（むかし）は物を　思は（わ）ざりけり,あいみての　のちのこころに　くらぶれば　むかしはものを　おもわざりけり,あひみての　のちのこころに　くらぶれば　むかしはものを　おもはざりけり,権中納言敦忠,ごんちゅうなごんあつただ
44,あふ（う）ことの　たえてしなくば　なかなかに　人をも身をも　恨（うら）みざらまし,あうことの　たえてしなくば　なかなかに　ひとをもみをも　うらみざらまし,あふことの　たえてしなくば　なかなかに　ひとをもみをも　うらみざらまし,中納言朝忠,ちゅうなごんあさただ
45,あは（わ）れとも　いふ（う）べき人は　思ほ（お）えで　身のいたづ（ず）らに　なりぬべきかな,あわれとも　いうべきひとは　おもおえで　みのいたずらに　なりぬべきかな,あはれとも　いふべきひとは　おもほえで　みのいたづらに　なりぬべきかな,謙徳公,けんとくこう
46,由良（ゆら）のとを　わたる舟人（ふなびと）　かぢ（じ）をたえ　ゆくへ（え）も知らぬ　恋（こい）の道かな,ゆらのとを　わたるふなびと　かじをたえ　ゆくえもしらぬ　こいのみちかな,ゆらのとを　わたるふなびと　かぢをたえ　ゆくへもしらぬ　こひのみちかな,曽禰好忠,そねのよしただ
47,八重（やえ）むぐら　しげれる宿の　さびしきに　人こそ見えね　秋は来にけり,やえむぐら　しげれるやどの　さびしきに　ひとこそみえね　あきはきにけり,やへむぐら　しげれるやどの　さびしきに　ひとこそみえね　あきはきにけり,恵慶法師,えぎょうほうし
48,風をいたみ　岩うつ波の　おのれのみ　くだけて物を　思ふ（う）ころかな,かぜをいたみ　いわうつなみの　おのれのみ　くだけてものを　おもうころかな,かぜをいたみ　いはうつなみの　おのれのみ　くだけてものを　おもふころかな,源重之,みなもとのしげゆき
49,みかきもり　衛士（えじ）のたく火の　夜はもえて　昼は消えつつ　物をこそ思へ（え）,みかきもり　えじのたくひの　よるはもえ　ひるはきえつつ　ものをこそおもえ,みかきもり　ゑじのたくひの　よるはもえて　ひるはきえつつ　ものをこそおもへ,大中臣能宣朝臣,おおなかとみのよしのぶあそん
50,君がため　惜（お）しからざりし　いのちさへ（え）　長くもがなと　思ひ（い）けるかな,きみがため　おしからざりし　いのちさえ　ながくもがなと　おもいけるかな,きみがため　をしからざりし　いのちさへ　ながくもがなと　おもひけるかな,藤原義孝,ふじわらのよしたか
51,かくとだに　えやはいぶきの　さしも草（ぐさ）　さしもしらじな　もゆる思ひ（い）を,かくとだに　えやはいぶきの　さしもぐさ　さしもしらじな　もゆるおもいを,かくとだに　えやはいぶきの　さしもぐさ　さしもしらじな　もゆるおもひを,藤原実方朝臣,ふじわらのさねかたあそん
